Sat Sep 19 15:59:11 2026    /Users/alansynn/Workspace/solweig-light/reports/p7_profile_small_warmed_v1/profile/worker.pstats

         48063836 function calls (45337892 primitive calls) in 19.388 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3787    0.007    0.000    0.141    0.000 cgutils.py:938(gep)
       91    0.000    0.000    0.141    0.002 bytecode.py:396(__init__)
       89    0.000    0.000    0.141    0.002 untyped_passes.py:59(run_pass)
    37013    0.018    0.000    0.140    0.000 functions.py:309(<listcomp>)
      290    0.001    0.000    0.140    0.000 cgutils.py:696(get_item_pointer)
        3    0.000    0.000    0.139    0.046 decorators.py:1(<module>)
       91    0.008    0.000    0.138    0.002 bytecode.py:288(__init__)
        2    0.000    0.000    0.134    0.067 datetime.py:1(<module>)
     6914    0.012    0.000    0.134    0.000 typeinfer.py:1485(resolve_value_type)
      918    0.000    0.000    0.133    0.000 nrt.py:19(initialize)
   109283    0.034    0.000    0.133    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.132    0.132 nrtdynmod.py:221(compile_nrt_functions)
      440    0.004    0.000    0.132    0.000 callconv.py:853(call_function)
       12    0.000    0.000    0.132    0.011 caching.py:733(save_overload)
       12    0.000    0.000    0.132    0.011 caching.py:740(_save_overload)
        4    0.000    0.000    0.131    0.033 context.py:1(<module>)
      778    0.004    0.000    0.130    0.000 module.py:11(parse_assembly)
  995/736    0.001    0.000    0.130    0.000 context.py:232(refresh)
     1460    0.003    0.000    0.130    0.000 analysis.py:76(fix_point)
     2772    0.001    0.000    0.129    0.000 cgutils.py:144(_get_ptr_by_index)
    76013    0.091    0.000    0.125    0.000 _utils.py:24(deduplicate)
      285    0.001    0.000    0.125    0.000 base.py:903(call_internal)
     2089    0.125    0.000    0.125    0.000 {method 'read' of '_io.BufferedReader' objects}
      108    0.000    0.000    0.123    0.001 ssa.py:83(_fix_ssa_vars)
4150/3770    0.009    0.000    0.123    0.000 copy.py:201(_deepcopy_list)
        2    0.000    0.000    0.122    0.061 config.py:1(<module>)
    90930    0.114    0.000    0.122    0.000 contextlib.py:104(__init__)
        1    0.000    0.000    0.122    0.122 stencil.py:1(<module>)
    70048    0.027    0.000    0.122    0.000 functions.py:234(_unlit_non_poison)
     1623    0.001    0.000    0.121    0.000 cgutils.py:151(__getattr__)
     4178    0.005    0.000    0.121    0.000 base.py:1202(__init__)
       69    0.007    0.000    0.120    0.002 typed_passes.py:621(run_pass)
     1990    0.001    0.000    0.120    0.000 models.py:497(getter)
     4158    0.004    0.000    0.120    0.000 builder.py:928(gep)
       79    0.006    0.000    0.119    0.002 ssa.py:145(_find_defs_violators)
90930/86053    0.033    0.000    0.118    0.000 contextlib.py:141(__exit__)
     1623    0.002    0.000    0.118    0.000 cgutils.py:168(__getitem__)
      459    0.001    0.000    0.116    0.000 typedlist.py:341(append)
     4178    0.006    0.000    0.115    0.000 base.py:1231(__call__)
        1    0.000    0.000    0.115    0.115 _interpolation.py:1(<module>)
1532331/1532330    0.069    0.000    0.114    0.000 {method 'extend' of 'list' objects}
     7903    0.007    0.000    0.114    0.000 <frozen posixpath>:394(abspath)
        1    0.000    0.000    0.114    0.114 __init__.py:129(__getattr__)
     4158    0.010    0.000    0.113    0.000 instructions.py:551(__init__)
       12    0.000    0.000    0.113    0.009 caching.py:471(reduce)
       12    0.000    0.000    0.113    0.009 compiler.py:196(_reduce)
      243    0.000    0.000    0.112    0.000 _docscrape.py:579(__init__)
    42187    0.019    0.000    0.112    0.000 bytecode.py:265(next)
159645/159255    0.052    0.000    0.112    0.000 _utils.py:54(get_reference)
     3660    0.007    0.000    0.112    0.000 svf.py:47(annulus_weight)
        1    0.000    0.000    0.112    0.112 _util.py:1(<module>)
      427    0.001    0.000    0.111    0.000 arrayobj.py:80(_make_refs)
      125    0.001    0.000    0.111    0.001 callwrapper.py:20(add_arg)
        1    0.000    0.000    0.110    0.110 _array_api.py:1(<module>)
     2048    0.023    0.000    0.110    0.000 typeinfer.py:1571(typeof_global)
     6087    0.003    0.000    0.109    0.000 typed_passes.py:762(_do_work_expr)
     8769    0.005    0.000    0.108    0.000 module.py:220(__next__)
       79    0.001    0.000    0.107    0.001 ssa.py:175(_run_block_analysis)
     1876    0.003    0.000    0.107    0.000 codegen.py:1256(_pass_builder)
162527/161647    0.034    0.000    0.107    0.000 {method 'join' of 'str' objects}
     4178    0.004    0.000    0.107    0.000 base.py:1219(_has_loc)
    45623    0.007    0.000    0.106    0.000 ffi.py:153(__getattr__)
     1876    0.003    0.000    0.104    0.000 llvm_bindings.py:36(create_pass_builder)
        1    0.000    0.000    0.104    0.104 typeof.py:1(<module>)
    41648    0.032    0.000    0.103    0.000 byteflow.py:145(_run_handle_exception)
    13008    0.011    0.000    0.103    0.000 __init__.py:704(__getattr__)
    14011    0.046    0.000    0.102    0.000 typeinfer.py:1089(add_type)
    10934    0.007    0.000    0.102    0.000 types.py:28(as_pointer)
250739/237957    0.076    0.000    0.101    0.000 abstract.py:124(__eq__)
   704920    0.098    0.000    0.100    0.000 {built-in method _abc._abc_instancecheck}
     2551    0.008    0.000    0.100    0.000 cgutils.py:364(alloca_once)
        1    0.000    0.000    0.099    0.099 dylib.py:1(<module>)
408481/295933    0.048    0.000    0.099    0.000 {built-in method builtins.hash}
        3    0.000    0.000    0.099    0.033 typedlist.py:212(empty_list)
