Sat Sep 19 16:22:50 2026    /Users/alansynn/Workspace/solweig-light/reports/characterization/p7_persistent_jit_distinct_variant/small_v1/profile/worker.pstats

         7198627 function calls (6895792 primitive calls) in 4.379 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2417    0.026    0.000    0.026    0.000 controlflow.py:644(push_state)
        1    0.000    0.000    0.026    0.026 typeconv.py:1(<module>)
        1    0.000    0.000    0.026    0.026 geometry.py:184(_open)
      284    0.000    0.000    0.026    0.000 codegen.py:1249(_function_pass_manager)
       10    0.000    0.000    0.025    0.003 typed_passes.py:562(run_pass)
       10    0.000    0.000    0.025    0.003 ir_utils.py:2155(check_and_legalize_ir)
        2    0.000    0.000    0.025    0.013 api.py:34(__init__)
        1    0.000    0.000    0.025    0.025 callconv.py:1(<module>)
4717/4690    0.004    0.000    0.025    0.000 abstract.py:61(__call__)
  470/425    0.001    0.000    0.025    0.000 base.py:534(get_function)
      206    0.000    0.000    0.025    0.000 analysis.py:76(fix_point)
      598    0.001    0.000    0.025    0.000 __init__.py:78(open_resource)
      342    0.022    0.000    0.025    0.000 patch_radiation.py:144(_classes)
        1    0.000    0.000    0.025    0.025 _arraypad_impl.py:1(<module>)
     9570    0.004    0.000    0.025    0.000 values.py:537(__init__)
        2    0.000    0.000    0.025    0.012 base.py:1(<module>)
        3    0.000    0.000    0.024    0.008 inline_closurecall.py:370(inline_ir)
        1    0.000    0.000    0.024    0.024 _index_tricks_impl.py:1(<module>)
        5    0.000    0.000    0.024    0.005 rasters.py:20(read_raster)
